Gene	sgRNA	NK_vs_Control|beta	NK_vs_Control|z	NK_vs_Control|p-value	NK_vs_Control|fdr	NK_vs_Control|wald-p-value	NK_vs_Control|wald-fdr
PAPD7	3	-0.018663	-0.13	0.7999	0.99889	0.89657	1
PAPL	3	-0.080073	-0.78775	0.4131	0.99645	0.43084	1
PAPLN	3	0.038938	0.3228	0.77015	0.99842	0.74685	1
PAPOLA	3	0.32571	0.9953	0.0091738	0.3733	0.31959	1
PAPOLG	3	-0.16401	-1.6462	0.12499	0.85687	0.099722	1
PAPPA	3	-0.036942	-0.2889	0.6703	0.99645	0.77266	1
PAPPA2	3	0.0061939	0.057221	0.98499	0.99967	0.95437	1
PAPSS1	3	0.08365	0.84258	0.47303	0.99645	0.39947	1
PAPSS2	3	-0.0426	-0.47468	0.63077	0.99645	0.63501	1
PAQR3	3	0.13169	0.73246	0.24569	0.95812	0.46389	1
PAQR4	3	0.13559	1.6574	0.23168	0.95204	0.09743	1
PAQR5	3	0.13535	1.5261	0.23224	0.95244	0.12698	1
PAQR6	3	0.070065	0.87276	0.55855	0.99645	0.38279	1
PAQR7	3	-6.3012e-06	-8.1597e-05	0.93523	0.99931	0.99993	1
PAQR8	3	-0.20646	-1.6906	0.062549	0.73916	0.090905	1
PAQR9	3	-0.035911	-0.37612	0.67819	0.99645	0.70683	1
PARD3	3	0.0093434	0.070434	0.9896	0.99967	0.94385	1
PARD3B	3	-0.083059	-0.88526	0.39664	0.99645	0.37602	1
PARD6A	3	0.0013729	0.013332	0.94724	0.99931	0.98936	1
PARD6B	3	0.059947	0.48848	0.62454	0.99645	0.62521	1
PARD6G	3	-0.11333	-1.1663	0.26498	0.96152	0.24349	1
PARK2	3	-0.082879	-0.65605	0.39764	0.99645	0.51179	1
PARK7	3	-0.034877	-0.24515	0.68598	0.99645	0.80634	1
PARL	3	0.24368	0.56389	0.035472	0.61833	0.57283	1
PARM1	3	-0.025748	-0.26917	0.74969	0.99796	0.7878	1
PARN	3	-0.033701	-0.17326	0.69304	0.99645	0.86245	1
PARP1	3	0.16628	1.1892	0.14322	0.88481	0.23434	1
PARP10	3	-0.12108	-0.74676	0.23802	0.95705	0.45521	1
PARP11	3	0.016985	0.085192	0.93373	0.99931	0.93211	1
PARP12	3	-0.193	-1.8983	0.076393	0.77018	0.057654	1
PARP14	3	-0.12787	-0.87442	0.2145	0.94075	0.38189	1
PARP15	3	0.041169	0.21	0.75247	0.99796	0.83367	1
PARP16	3	0.067838	0.48685	0.57317	0.99645	0.62636	1
PARP2	3	-0.12483	-0.68403	0.22456	0.94215	0.49396	1
PARP3	3	-0.18713	-1.7602	0.084899	0.78663	0.078371	1
PARP4	3	0.15294	1.2065	0.1773	0.91165	0.22761	1
PARP6	3	0.0006639	0.0049153	0.94123	0.99931	0.99608	1
PARP8	3	-0.091149	-0.7384	0.35995	0.98528	0.46027	1
PARP9	3	0.1247	0.74362	0.27065	0.9653	0.45711	1
PARPBP	3	-0.1359	-0.9406	0.1892	0.91258	0.34691	1
PARS2	3	0.14226	0.40374	0.21055	0.94075	0.68641	1
PARVA	3	0.0065375	0.0581	0.98743	0.99967	0.95367	1
PARVB	3	-0.0034877	-0.026526	0.91149	0.99931	0.97884	1
PARVG	3	0.023938	0.2735	0.88013	0.99931	0.78447	1
PASD1	3	-0.035298	-0.46762	0.68303	0.99645	0.64006	1
PASK	3	0.19366	0.9897	0.089347	0.8012	0.32232	1
PATE1	3	-0.07819	-1.0212	0.42227	0.99645	0.30714	1
PATE2	3	-0.20608	-1.3637	0.062882	0.7397	0.17267	1
PATE3	3	0.0053302	0.050337	0.97759	0.99967	0.95985	1
PATE4	3	-0.22301	-1.2586	0.047037	0.67809	0.20818	1
PATL1	3	-0.16886	-1.0118	0.11553	0.84198	0.31162	1
PATL2	3	0.030237	0.21221	0.83415	0.99889	0.83195	1
PATZ1	3	-0.035228	-0.25689	0.6837	0.99645	0.79726	1
PAWR	3	-0.10138	-0.94603	0.31419	0.97726	0.34413	1
PAX1	3	-0.0078311	-0.058715	0.87896	0.99931	0.95318	1
PAX2	3	0.13063	0.98641	0.24886	0.95812	0.32393	1
PAX3	3	0.083125	0.40868	0.4762	0.99645	0.68277	1
PAX4	3	-0.028092	-0.23619	0.73162	0.99687	0.81329	1
PAX5	3	0.028259	0.33429	0.84794	0.99889	0.73816	1
PAX6	3	0.094656	1.0503	0.41438	0.99645	0.2936	1
PAX7	3	0.028325	0.24642	0.84771	0.99889	0.80536	1
PAX8	3	0.060305	0.71405	0.62226	0.99645	0.4752	1
PAX9	3	-0.10122	-0.96317	0.31474	0.97726	0.33546	1
PAXBP1	3	0.092948	0.94878	0.42433	0.99645	0.34273	1
PAXIP1	3	-0.18431	-1.0489	0.089347	0.8012	0.29421	1
PBDC1	3	0.00037837	0.0022204	0.93834	0.99931	0.99823	1
PBK	3	-0.03433	-0.21764	0.68881	0.99645	0.82771	1
PBLD	3	0.0066432	0.038959	0.98838	0.99967	0.96892	1
PBOV1	3	0.19201	1.0313	0.092238	0.80228	0.3024	1
PBRM1	3	0.089967	0.67607	0.43912	0.99645	0.499	1
PBX1	3	-0.054511	-0.35739	0.55554	0.99645	0.7208	1
PBX2	3	0.47239	2.2739	0.00072278	0.093525	0.022971	1
PBX3	3	-0.20629	-1.3817	0.062604	0.73933	0.16707	1
PBX4	3	0.07334	0.71609	0.53814	0.99645	0.47393	1
PBXIP1	3	0.29798	2.1221	0.014011	0.44523	0.033829	1
PC	3	0.043011	0.25342	0.73891	0.99687	0.79995	1
PCBD1	3	-0.0070034	-0.045346	0.88536	0.99931	0.96383	1
PCBD2	3	-0.028279	-0.18114	0.73035	0.99687	0.85625	1
PCBP1	3	-0.034833	-0.12704	0.68642	0.99645	0.89891	1
PCBP2	3	0.028288	0.10608	0.84783	0.99889	0.91552	1
PCBP3	3	-0.091274	-0.8463	0.35945	0.98528	0.39739	1
PCBP4	3	-0.087322	-1.0153	0.37702	0.99226	0.30996	1
PCCA	3	0.21214	1.3545	0.063216	0.74154	0.17557	1
PCCB	3	-0.061437	-0.78644	0.51412	0.99645	0.43161	1
PCDH1	3	0.12702	0.86601	0.26204	0.96152	0.38649	1
PCDH10	3	-0.11541	-1.1237	0.25798	0.95907	0.26113	1
PCDH11X	3	-0.079981	-0.61477	0.41377	0.99645	0.53871	1
PCDH11Y	2	-0.089438	-0.93579	0.45285	0.99645	0.34938	1
PCDH12	3	-0.10691	-1.2638	0.28973	0.97113	0.20632	1
PCDH15	3	-0.015065	-0.12666	0.82386	0.99889	0.89921	1
PCDH17	3	0.028483	0.265	0.84649	0.99889	0.79101	1
PCDH18	3	-0.22531	-2.0976	0.044868	0.66639	0.035939	1
PCDH19	3	-0.033397	-0.38533	0.69493	0.99645	0.7	1
PCDH20	3	0.047427	0.51469	0.70866	0.99645	0.60677	1
PCDH7	3	0.14195	1.1952	0.21183	0.94075	0.23199	1
PCDH8	3	-0.16001	-1.6144	0.13283	0.86339	0.10644	1
PCDH9	3	0.07902	0.61964	0.50222	0.99645	0.5355	1
PCDHA1	3	0.089985	0.68183	0.43906	0.99645	0.49535	1
PCDHA10	3	0.0084684	0.080804	0.99616	0.99967	0.9356	1
PCDHA11	3	0.083062	0.82524	0.47665	0.99645	0.40923	1
PCDHA12	3	-0.24477	-2.0653	0.032581	0.606	0.038897	1
PCDHA13	3	-0.003598	-0.049246	0.91082	0.99931	0.96072	1
PCDHA2	3	0.054582	0.30489	0.65918	0.99645	0.76045	1
PCDHA3	3	0.091536	0.82169	0.43128	0.99645	0.41125	1
PCDHA4	3	-0.098391	-0.95205	0.32575	0.97746	0.34107	1
PCDHA5	3	-0.084263	-1.0802	0.39064	0.99645	0.28004	1
PCDHA6	3	0.069541	0.53714	0.56183	0.99645	0.59117	1
PCDHA7	3	0.16018	1.7141	0.15823	0.89711	0.086517	1
PCDHA8	3	-0.193	-1.0821	0.076393	0.77018	0.27923	1
PCDHA9	3	0.046931	0.4151	0.71267	0.99645	0.67807	1
PCDHAC1	3	-0.13401	-1.2879	0.19515	0.91813	0.19778	1
PCDHAC2	3	-0.071685	-0.65952	0.45608	0.99645	0.50956	1
PCDHB1	3	0.075493	0.82547	0.52469	0.99645	0.4091	1
PCDHB10	3	-0.085579	-0.49576	0.38435	0.99353	0.62006	1
PCDHB11	3	-0.050412	-0.35434	0.5819	0.99645	0.72308	1
PCDHB12	3	0.06206	0.57745	0.6107	0.99645	0.56364	1
PCDHB13	3	-0.019869	-0.2185	0.79167	0.99889	0.82704	1
PCDHB14	3	-0.069306	-0.51	0.46964	0.99645	0.61005	1
PCDHB15	3	-0.13867	-1.0203	0.18175	0.91165	0.30757	1
PCDHB16	3	-0.086212	-0.70145	0.38141	0.99277	0.48302	1
PCDHB2	3	0.086508	0.56628	0.45691	0.99645	0.57121	1
PCDHB3	3	-0.10587	-0.95396	0.29423	0.97441	0.3401	1
PCDHB4	3	0.063185	0.58533	0.60319	0.99645	0.55833	1
PCDHB5	3	-0.030198	-0.30254	0.71678	0.99645	0.76224	1
PCDHB6	3	-0.096421	-0.73707	0.33515	0.98128	0.46108	1
PCDHB7	3	-0.14028	-1.5956	0.17758	0.91165	0.11058	1
PCDHB8	3	-0.024366	-0.21282	0.75926	0.99796	0.83147	1
PCDHGA1	3	0.19181	1.2925	0.092572	0.80228	0.19618	1
PCDHGA10	3	0.06336	0.73653	0.60213	0.99645	0.46141	1
PCDHGA11	3	-0.11532	-1.1011	0.25826	0.95951	0.27087	1
PCDHGA12	3	-0.0066654	-0.045125	0.88775	0.99931	0.96401	1
PCDHGA2	3	0.1324	1.3086	0.24319	0.95812	0.19068	1
PCDHGA3	3	-0.17006	-1.3183	0.11309	0.84044	0.18742	1
PCDHGA5	3	0.0011951	0.010041	0.94562	0.99931	0.99199	1
PCDHGA6	3	0.13136	1.1491	0.24641	0.95812	0.25053	1
PCDHGA7	3	-0.047752	-0.61895	0.59841	0.99645	0.53595	1
PCDHGA8	3	-0.016984	-0.095542	0.81119	0.99889	0.92388	1
PCDHGA9	3	0.15808	1.3147	0.16329	0.9012	0.1886	1
PCDHGB1	3	-0.074953	-1.0128	0.43945	0.99645	0.31114	1
PCDHGB2	3	0.17765	1.1181	0.11781	0.84394	0.26353	1
PCDHGB3	3	-0.28496	-2.8153	0.016402	0.47504	0.0048726	1
PCDHGB4	3	-0.075993	-0.88302	0.43334	0.99645	0.37723	1
PCDHGB6	3	0.0043127	0.034283	0.96892	0.99931	0.97265	1
PCDHGB7	3	0.093924	0.57647	0.41827	0.99645	0.56429	1
PCDHGC3	3	0.18802	1.51	0.097909	0.81566	0.13104	1
PCDHGC4	3	-0.019831	-0.27014	0.792	0.99889	0.78706	1
PCDHGC5	3	0.022332	0.20932	0.89214	0.99931	0.8342	1
PCDP1	3	-0.072507	-0.53712	0.45141	0.99645	0.59119	1
PCED1A	3	0.13312	1.0548	0.24074	0.95812	0.29151	1
PCED1B	3	-0.17751	-1.3998	0.10097	0.82144	0.16157	1
PCF11	3	0.10301	0.51569	0.36856	0.98853	0.60607	1
PCGF1	3	-0.079114	-0.65971	0.41794	0.99645	0.50944	1
PCGF2	3	-0.093136	-0.98921	0.35061	0.985	0.32256	1
PCGF3	3	0.15209	1.1282	0.1802	0.91165	0.25925	1
PCGF5	3	0.33226	2.0198	0.0080062	0.3598	0.043406	1
PCGF6	3	-0.15334	-0.74297	0.14678	0.88509	0.4575	1
PCID2	3	-0.33521	-1.2161	0.0070054	0.33598	0.22396	1
PCIF1	3	-0.025675	-0.34396	0.75058	0.99796	0.73088	1
PCK1	3	0.038271	0.5097	0.77544	0.99878	0.61026	1
PCK2	3	-0.018331	-0.20131	0.80224	0.99889	0.84045	1
PCLO	3	-0.02429	-0.22455	0.75998	0.99796	0.82233	1
PCM1	3	0.26089	1.7189	0.027355	0.57442	0.085636	1
PCMT1	3	-0.032921	-0.28966	0.69804	0.99645	0.77208	1
PCMTD1	3	0.3499	1.9507	0.0053375	0.29268	0.051094	1
PCMTD2	3	-0.027658	-0.12706	0.73496	0.99687	0.89889	1
PCNA	3	-0.51643	-0.81609	0.00033359	0.071429	0.41445	1
PCNP	3	-0.011724	-0.082961	0.84927	0.99889	0.93388	1
PCNT	3	-0.19489	-1.1169	0.07428	0.76457	0.26403	1
PCNX	3	-0.048975	-0.49856	0.59085	0.99645	0.61809	1
PCNXL2	3	0.070851	0.74233	0.55365	0.99645	0.45789	1
PCNXL3	3	-0.1584	-1.3242	0.137	0.87425	0.18545	1
PCOLCE	3	0.048457	0.931	0.70066	0.99645	0.35185	1
PCOLCE2	3	0.070152	0.78028	0.55816	0.99645	0.43523	1
PCP2	3	0.053183	0.61269	0.66908	0.99645	0.54008	1
PCP4	2	0.055508	0.37094	0.71205	0.99645	0.71068	1
PCP4L1	2	0.050224	0.34517	0.74308	0.99687	0.72997	1
PCSK1	3	-0.0047251	-0.042482	0.90242	0.99931	0.96611	1
PCSK1N	3	-0.10659	-1.4824	0.29117	0.97161	0.13822	1
PCSK2	3	0.10915	1.2338	0.33876	0.98179	0.21726	1
PCSK4	3	0.018074	0.16156	0.92522	0.99931	0.87165	1
PCSK5	3	0.092037	0.86382	0.42883	0.99645	0.38769	1
PCSK7	3	0.06854	0.57246	0.56839	0.99645	0.56701	1
PCSK9	3	-0.011367	-0.10373	0.85205	0.99902	0.91738	1
PCTP	3	0.065825	0.78854	0.58651	0.99645	0.43038	1
PCYOX1	3	-0.094322	-0.75296	0.34532	0.98325	0.45147	1
PCYOX1L	3	0.051151	0.44294	0.68448	0.99645	0.65781	1
PCYT1A	3	-0.10356	-0.33038	0.30468	0.97726	0.74111	1
PCYT1B	3	0.15958	1.432	0.15951	0.89881	0.15214	1
PCYT2	3	0.39756	1.6561	0.0025575	0.20087	0.097702	1
PDAP1	3	0.33066	0.98766	0.0083398	0.36585	0.32332	1
PDC	3	0.028646	0.18599	0.84538	0.99889	0.85246	1
PDCD1	3	0.059776	0.55993	0.6261	0.99645	0.57553	1
PDCD10	3	-0.13333	-1.0523	0.19688	0.9219	0.29265	1
PDCD11	3	-0.36826	-1.2165	0.0037251	0.23592	0.2238	1
PDCD1LG2	3	0.032573	0.2403	0.81847	0.99889	0.8101	1
PDCD2	3	-0.2372	-1.3107	0.036695	0.61833	0.18995	1
PDCD2L	3	0.0051044	0.04447	0.97565	0.99949	0.96453	1
PDCD4	3	0.28007	1.6454	0.019738	0.51	0.099894	1
PDCD5	3	-0.029674	-0.12409	0.72056	0.99687	0.90125	1
PDCD6	3	-0.006717	-0.054581	0.88736	0.99931	0.95647	1
PDCD6IP	3	0.012988	0.10708	0.96253	0.99931	0.91472	1
PDCD7	3	-0.39984	-1.1034	0.0020016	0.17225	0.26986	1
PDCL	3	-0.13483	-1.2637	0.19298	0.91511	0.20633	1
PDCL2	3	-0.19212	-1.0986	0.077338	0.7717	0.27195	1
PDCL3	3	0.27849	1.0271	0.020294	0.51627	0.30435	1
PDDC1	3	0.030273	0.1867	0.83404	0.99889	0.8519	1
PDE10A	3	-0.027781	-0.28526	0.73424	0.99687	0.77545	1
PDE11A	3	0.11975	0.60781	0.29234	0.97244	0.54331	1
PDE12	3	0.15491	1.2985	0.17197	0.91154	0.19413	1
PDE1A	3	-0.089062	-0.48453	0.36873	0.98853	0.62801	1
PDE1B	3	0.069085	0.46449	0.56483	0.99645	0.64229	1
PDE1C	3	-0.059972	-0.37232	0.52341	0.99645	0.70965	1
PDE2A	3	0.047518	0.54673	0.70805	0.99645	0.58457	1
PDE3A	3	-0.1105	-1.5472	0.27583	0.96653	0.12182	1
PDE3B	3	0.088845	0.72664	0.44518	0.99645	0.46745	1
PDE4A	3	0.17063	1.2528	0.13266	0.86293	0.21027	1
PDE4B	3	0.15142	1.4667	0.18197	0.91165	0.14246	1
PDE4C	3	0.11679	1.1992	0.30568	0.97726	0.23045	1
PDE4D	3	-0.045006	-0.41545	0.61503	0.99645	0.67781	1
PDE4DIP	3	0.12593	1.0019	0.26598	0.96152	0.31638	1
PDE5A	3	-0.12408	-0.93713	0.22762	0.94593	0.34869	1
PDE6A	3	-0.06828	-0.50035	0.47515	0.99645	0.61683	1
PDE6B	3	-0.021434	-0.32817	0.78077	0.99889	0.74279	1
PDE6C	3	0.060067	0.54854	0.6236	0.99645	0.58332	1
PDE6D	3	0.071633	0.78139	0.54887	0.99645	0.43458	1
PDE6G	3	0.071479	0.51931	0.54976	0.99645	0.60354	1
PDE6H	3	0.11936	0.92522	0.29467	0.97516	0.35485	1
PDE7A	3	-0.18877	-1.4954	0.082842	0.78663	0.1348	1
PDE7B	3	0.022461	0.234	0.89136	0.99931	0.81499	1
PDE8A	3	-0.1011	-0.96913	0.3153	0.97726	0.33248	1
PDE8B	3	-0.02058	-0.22381	0.78683	0.99889	0.8229	1
PDE9A	3	0.075822	0.72684	0.5228	0.99645	0.46733	1
PDF	3	-0.1181	-1.136	0.24919	0.95812	0.25595	1
PDGFA	3	0.020308	0.15001	0.90926	0.99931	0.88076	1
PDGFB	3	-0.0046772	-0.047221	0.90281	0.99931	0.96234	1
PDGFC	3	0.095834	0.35013	0.40804	0.99645	0.72624	1
PDGFD	3	-0.061071	-0.49187	0.51612	0.99645	0.62281	1
PDGFRA	3	-0.13511	-0.66435	0.19221	0.91506	0.50646	1
PDGFRB	3	-0.06278	-0.68182	0.50634	0.99645	0.49535	1
PDGFRL	3	0.007673	0.081175	0.99722	0.99967	0.9353	1
PDHA1	3	0.12595	1.2078	0.26593	0.96152	0.22711	1
PDHA2	3	0.19719	1.2293	0.083843	0.78663	0.21896	1
PDHB	3	0.07695	0.36709	0.51501	0.99645	0.71355	1
PDHX	3	0.046829	0.3068	0.71305	0.99645	0.75899	1
PDIA2	3	0.09709	0.86915	0.40176	0.99645	0.38476	1
PDIA3	3	0.44864	2.145	0.0012232	0.13415	0.031951	1
PDIA4	3	-0.03396	-0.18769	0.69093	0.99645	0.85112	1
PDIA5	3	0.047685	0.37807	0.70705	0.99645	0.70538	1
PDIA6	3	-0.048381	-0.3506	0.59468	0.99645	0.72589	1
PDIK1L	3	-0.048277	-0.36648	0.59519	0.99645	0.71401	1
PDILT	3	-0.074549	-0.77598	0.44162	0.99645	0.43776	1
PDK1	3	0.054829	0.43524	0.65762	0.99645	0.66339	1
PDK2	3	0.095118	0.54499	0.41188	0.99645	0.58576	1
PDK3	3	-0.067931	-0.53416	0.47737	0.99645	0.59323	1
PDK4	3	0.0088181	0.068042	0.99361	0.99967	0.94575	1
PDLIM1	3	0.1437	1.1396	0.20533	0.9357	0.25445	1
PDLIM2	3	-0.037469	-0.39377	0.6658	0.99645	0.69375	1
PDLIM3	3	0.025871	0.339	0.86545	0.99931	0.73461	1
PDLIM4	3	-0.26385	-1.9927	0.023351	0.54475	0.046293	1
PDLIM5	3	0.19553	1.1761	0.086067	0.79133	0.23957	1
PDLIM7	3	-0.13118	-1.6354	0.20399	0.93567	0.10197	1
PDP1	3	0.15875	1.0053	0.16168	0.90046	0.31475	1
PDP2	3	-0.090918	-0.49034	0.36089	0.98528	0.62389	1
PDPK1	3	-0.050301	-0.43457	0.58262	0.99645	0.66388	1
PDPN	3	-0.032344	-0.31743	0.70188	0.99645	0.75091	1
PDPR	3	0.40589	1.7895	0.002224	0.18519	0.073529	1
PDRG1	3	0.19074	0.41175	0.093628	0.80228	0.68052	1
PDS5A	3	0.4879	1.1804	0.00050039	0.076923	0.23785	1
PDS5B	3	0.040373	0.33946	0.75848	0.99796	0.73427	1
PDSS1	3	-0.066286	-0.31375	0.48593	0.99645	0.75371	1
PDSS2	3	0.012985	0.073693	0.96253	0.99931	0.94125	1
PDX1	3	0.046448	0.28602	0.71583	0.99645	0.77487	1
PDXDC1	3	0.22073	1.9284	0.052874	0.70354	0.053801	1
PDXK	3	-0.12298	-1.1644	0.23151	0.95204	0.24424	1
PDXP	3	-0.083878	-0.82564	0.39319	0.99645	0.40901	1
PDYN	3	0.024338	0.20337	0.87596	0.99931	0.83885	1
PDZD11	3	0.035065	0.29902	0.80029	0.99889	0.76493	1
PDZD2	3	0.10406	0.96477	0.36328	0.98702	0.33466	1
PDZD3	3	0.0050177	0.045144	0.97492	0.99943	0.96399	1
PDZD4	3	0.01131	0.10631	0.97481	0.99943	0.91534	1
PDZD7	3	0.058531	0.56925	0.63316	0.99645	0.56919	1
PDZD8	3	-0.11698	-0.79029	0.25264	0.95812	0.42936	1
PDZD9	3	0.11411	0.43306	0.31725	0.97726	0.66497	1
PDZK1	3	0.044199	0.46843	0.73129	0.99687	0.63948	1
PDZK1IP1	3	0.064526	0.62732	0.59541	0.99645	0.53045	1
PDZRN3	3	0.059227	0.57856	0.6291	0.99645	0.56289	1
PDZRN4	3	-0.069972	-0.65984	0.46597	0.99645	0.50936	1
PEA15	3	0.25332	2.1423	0.030579	0.59657	0.032168	1
PEAK1	3	0.039696	0.29602	0.76426	0.99842	0.76721	1
PEAR1	3	0.022013	0.25942	0.89492	0.99931	0.79531	1
PEBP1	3	-0.0091979	-0.071009	0.8694	0.99931	0.94339	1
PEBP4	3	-0.024531	-0.18631	0.75837	0.99796	0.8522	1
PECR	3	0.04335	0.38904	0.7368	0.99687	0.69725	1
PEF1	3	0.11243	0.89912	0.32314	0.97726	0.36859	1
PEG10	3	-0.024146	-0.17855	0.76081	0.99796	0.85829	1
PEG3	3	0.017258	0.1699	0.93139	0.99931	0.86509	1
PELI1	3	0.024689	0.18991	0.87346	0.99931	0.84938	1
PELI2	3	-0.03313	-0.32785	0.69649	0.99645	0.74303	1
PELI3	3	0.11927	1.4364	0.29506	0.97526	0.15088	1
PELO	3	-0.73976	-1.8993	5.5599e-05	0.026316	0.057522	1
PELP1	3	-0.085556	-0.2623	0.38441	0.99353	0.79309	1
PEMT	3	-0.022894	-0.20088	0.77054	0.99842	0.84079	1
PENK	3	-0.07737	-0.75747	0.42578	0.99645	0.44877	1
PEPD	3	-0.055137	-0.4808	0.55165	0.99645	0.63066	1
PER1	3	-0.011006	-0.11197	0.85472	0.99916	0.91085	1
PER2	3	0.041389	0.31869	0.75042	0.99796	0.74996	1
PER3	3	-0.034923	-0.30241	0.68553	0.99645	0.76234	1
PERP	3	-0.18896	-0.78553	0.082453	0.78663	0.43214	1
PES1	3	0.15028	0.82898	0.18514	0.91165	0.40711	1
PET100	3	0.052842	0.41989	0.67152	0.99645	0.67456	1
PET112	3	0.20467	0.94473	0.073224	0.76457	0.3448	1
PET117	3	0.016864	0.10237	0.93462	0.99931	0.91846	1
PEX1	3	0.28514	1.1148	0.017347	0.48297	0.26495	1
PEX10	3	-0.0040042	-0.027882	0.90771	0.99931	0.97776	1
PEX11A	3	0.010385	0.078715	0.98193	0.99967	0.93726	1
PEX11B	3	-0.079145	-0.51656	0.41777	0.99645	0.60546	1
PEX11G	3	0.20934	1.3144	0.066997	0.74644	0.1887	1
PEX12	3	-0.042678	-0.38897	0.63055	0.99645	0.6973	1
PEX13	3	-0.19485	-0.4735	0.07428	0.76457	0.63585	1
PEX14	3	-0.032692	-0.23446	0.69921	0.99645	0.81463	1
PEX16	3	0.15713	0.93753	0.16607	0.90354	0.34849	1
PEX19	3	-0.10072	-0.53493	0.31725	0.97726	0.5927	1
PEX2	3	-0.21638	-1.3595	0.053875	0.70644	0.17399	1
PEX26	3	-0.10995	-0.91741	0.27783	0.96731	0.35893	1
PEX3	3	-0.015742	-0.096565	0.81919	0.99889	0.92307	1
PEX5	3	-0.13236	-1.1078	0.19993	0.92896	0.26796	1
PEX5L	3	-0.036589	-0.37404	0.67319	0.99645	0.70838	1
PEX6	3	-0.22432	-1.51	0.045591	0.66911	0.13105	1
PEX7	3	0.040872	0.32752	0.75464	0.99796	0.74327	1
PF4	2	0.089456	0.75992	0.52318	0.99645	0.4473	1
PF4V1	3	0.024859	0.19063	0.87257	0.99931	0.84881	1
PFAS	3	0.00086678	0.0063917	0.94318	0.99931	0.9949	1
PFDN1	3	-0.024717	-0.10461	0.75692	0.99796	0.91669	1
PFDN2	3	-0.11457	-0.24208	0.2612	0.96152	0.80872	1
PFDN4	3	0.21551	0.2908	0.05938	0.72951	0.7712	1
PFDN5	3	0.13281	0.95101	0.24185	0.95812	0.3416	1
PFDN6	3	0.11947	0.4662	0.29417	0.97441	0.64107	1
PFKFB1	3	0.034575	0.33239	0.80346	0.99889	0.7396	1
PFKFB2	3	0.11878	0.89178	0.29701	0.9766	0.37251	1
PFKFB3	3	0.1937	1.7841	0.089236	0.8012	0.074411	1
PFKFB4	3	-0.012153	-0.11715	0.84616	0.99889	0.90675	1
PFKL	3	-0.051073	-0.96233	0.57628	0.99645	0.33588	1
PFKM	3	-0.11653	-0.90949	0.25431	0.95812	0.36309	1
PFKP	3	0.1274	0.82846	0.26031	0.961	0.40741	1
PFN1	3	-0.036364	-0.11063	0.67486	0.99645	0.91191	1
PFN2	3	-0.070663	-0.5459	0.46225	0.99645	0.58514	1
PFN3	3	-0.030199	-0.31597	0.71678	0.99645	0.75203	1
PFN4	3	0.03102	0.22872	0.8287	0.99889	0.81909	1
PGAM1	3	0.24176	0.82379	0.03664	0.61833	0.41006	1
PGAM2	3	-0.0050641	-0.034602	0.90037	0.99931	0.9724	1
PGAM4	2	0.72679	1.3005	0.00038919	0.075269	0.19343	1
PGAM5	3	-0.065414	-0.62547	0.49044	0.99645	0.53166	1
PGAP1	3	0.045207	0.63205	0.72395	0.99687	0.52736	1
PGAP2	3	0.10079	1.0512	0.38068	0.99277	0.29316	1
PGAP3	3	0.019026	0.22979	0.91827	0.99931	0.81825	1
PGBD1	3	0.003225	0.029933	0.9608	0.99931	0.97612	1
PGBD2	3	0.09673	0.86388	0.40354	0.99645	0.38766	1
PGBD3	3	-0.16782	-0.9558	0.11776	0.84394	0.33917	1
PGBD4	3	-0.011102	-0.099029	0.85366	0.99902	0.92112	1
PGC	3	-0.2029	-1.231	0.066218	0.74644	0.21833	1
PGD	3	0.13332	0.55638	0.24024	0.95812	0.57795	1
PGF	3	0.14758	1.166	0.19237	0.91506	0.24362	1
PGGT1B	3	0.13643	0.79678	0.22857	0.94685	0.42558	1
PGK1	3	0.024297	0.08966	0.87635	0.99931	0.92856	1
PGK2	3	-0.073663	-0.50918	0.44529	0.99645	0.61062	1
PGLS	3	-0.0021888	-0.016719	0.92033	0.99931	0.98666	1
PGLYRP1	3	0.0071764	0.060035	0.99311	0.99967	0.95213	1
PGLYRP2	3	0.035176	0.36029	0.79923	0.99889	0.71863	1
PGLYRP3	3	-0.026228	-0.17711	0.74608	0.99747	0.85942	1
PGLYRP4	3	-0.059823	-0.47952	0.52424	0.99645	0.63157	1
PGM1	3	0.20152	1.2168	0.077282	0.7717	0.22368	1
PGM2	3	0.15629	1.0685	0.16813	0.90512	0.2853	1
PGM2L1	3	0.0063795	0.064624	0.98604	0.99967	0.94847	1
PGM3	3	0.11709	0.61955	0.30424	0.97726	0.53555	1
PGM5	3	-0.079926	-0.7375	0.41421	0.99645	0.46082	1
PGP	3	-0.082914	-0.86812	0.39742	0.99645	0.38533	1
PGPEP1	3	0.13799	1.0569	0.22301	0.94112	0.29054	1
PGPEP1L	3	0.0024949	0.032593	0.9558	0.99931	0.974	1
PGR	3	-0.067673	-0.82231	0.47865	0.99645	0.4109	1
PGRMC1	3	-0.049236	-0.47602	0.58929	0.99645	0.63406	1
PGRMC2	3	-0.0055386	-0.052487	0.89675	0.99931	0.95814	1
PGS1	3	0.12899	0.42839	0.25436	0.95812	0.66837	1
PHACTR2	3	-0.048469	-0.52158	0.59424	0.99645	0.60196	1
PHACTR3	3	0.0064685	0.10518	0.98688	0.99967	0.91623	1
PHACTR4	3	0.085879	0.96264	0.46058	0.99645	0.33573	1
PHAX	3	0.047567	0.16667	0.70777	0.99645	0.86763	1
