Gene	beta	fdr	dataset	hit
MSH5	0.19983	0.64896	top4	NOT
MSH6	-0.063794	0.9678	top4	NOT
MSI1	-0.19915	0.61111	top4	NOT
MSI2	-0.022329	0.99276	top4	NOT
MSL1	0.010322	0.99832	top4	NOT
MSL2	0.032333	0.99276	top4	NOT
MSL3	0.056249	0.98163	top4	NOT
MSLN	-0.0069806	0.99445	top4	NOT
MSMB	-0.0069718	0.99445	top4	NOT
MSMO1	-9.0444e-4	0.99749	top4	NOT
MSMP	-0.034358	0.98566	top4	NOT
MSN	0.054445	0.98163	top4	NOT
MSR1	0.08859	0.96087	top4	NOT
MSRA	0.075866	0.96924	top4	NOT
MSRB1	-0.014113	0.99276	top4	NOT
MSRB2	-9.8171e-4	0.99749	top4	NOT
MSRB3	0.079073	0.9678	top4	NOT
MSS51	0.091762	0.95672	top4	NOT
MST1	-0.067895	0.9678	top4	NOT
MST1R	0.067646	0.97737	top4	NOT
MST4	-0.073626	0.9615	top4	NOT
MSTN	0.041131	0.99183	top4	NOT
MSTO1	0.16249	0.80406	top4	NOT
MSX1	0.0031045	0.99788	top4	NOT
MSX2	-0.0053248	0.99473	top4	NOT
MT1A	0.29737	0.64927	top4	NOT
MT1B	0.020028	0.99718	top4	NOT
MT1E	0.1632	0.93247	top4	NOT
MT1F	0.25841	0.73292	top4	NOT
MT1H	0.12868	0.97647	top4	NOT
MT1HL1	0.21505	0.93425	top4	NOT
MT1M	0.13019	0.97647	top4	NOT
MT2A	0.3877	0.73212	top4	NOT
MT3	0.066846	0.97782	top4	NOT
MT4	0.12433	0.93435	top4	NOT
MTA1	0.039432	0.99256	top4	NOT
MTA2	0.3103	0.23839	top4	NOT
MTA3	0.0025421	0.99788	top4	NOT
MTAP	0.10272	0.93857	top4	NOT
MTBP	-0.33606	0.12376	top4	NOT
MTCH1	0.0052718	0.99832	top4	NOT
MTCH2	0.097361	0.94736	top4	NOT
MTCP1	-0.082957	0.95163	top4	NOT
MTDH	-0.1315	0.86689	top4	NOT
MTERF	0.0073804	0.99922	top4	NOT
MTERFD1	0.10835	0.93425	top4	NOT
MTERFD2	0.20695	0.61111	top4	NOT
MTERFD3	0.066486	0.97782	top4	NOT
MTF1	-0.022189	0.99276	top4	NOT
MTF2	-0.049404000000000003	0.97782	top4	NOT
MTFMT	-0.17391	0.69769	top4	NOT
MTFP1	0.040833	0.99183	top4	NOT
MTFR1	0.12764	0.89513	top4	NOT
MTFR1L	-0.03773	0.98202	top4	NOT
MTFR2	0.11986	0.91886	top4	NOT
MTG1	-0.029499	0.9899	top4	NOT
MTG2	0.12814	0.89265	top4	NOT
MTHFD1	-0.55122	0	top4	DOWN
MTHFD1L	-0.098708	0.93425	top4	NOT
MTHFD2	-0.17612	0.69769	top4	NOT
MTHFD2L	-0.063489	0.9685	top4	NOT
MTHFR	-0.032221	0.9888	top4	NOT
MTHFS	-0.0019697	0.99749	top4	NOT
MTHFSD	-0.046587	0.98057	top4	NOT
MTIF2	0.15795	0.81895	top4	NOT
MTIF3	-0.1122	0.89968	top4	NOT
MTL5	-0.038852	0.98163	top4	NOT
MTM1	0.03276	0.99276	top4	NOT
MTMR1	-0.023375	0.99258	top4	NOT
MTMR10	0.076202	0.96924	top4	NOT
MTMR11	-0.038155	0.98163	top4	NOT
MTMR12	-0.016903	0.99276	top4	NOT
MTMR14	0.022273	0.99445	top4	NOT
MTMR2	0.06155	0.98057	top4	NOT
MTMR3	0.10101	0.93857	top4	NOT
MTMR4	0.15222	0.84898	top4	NOT
MTMR6	-0.054304	0.97647	top4	NOT
MTMR7	-0.067625	0.9678	top4	NOT
MTMR8	0.11712	0.92975	top4	NOT
MTMR9	0.0043692	0.99805	top4	NOT
MTNR1A	0.075908	0.96924	top4	NOT
MTNR1B	-0.097721	0.93425	top4	NOT
MTO1	-0.10851	0.91489	top4	NOT
MTOR	-0.097515	0.93425	top4	NOT
MTPAP	0.099397	0.94195	top4	NOT
MTPN	-0.03182	0.98889	top4	NOT
MTR	0.0067935	0.99832	top4	NOT
MTRF1	0.068041	0.97658	top4	NOT
MTRF1L	-0.11599	0.8881	top4	NOT
MTRR	-0.097543	0.93425	top4	NOT
MTSS1	-0.22578	0.4739	top4	NOT
MTSS1L	-0.065339	0.9678	top4	NOT
MTTP	0.034528	0.99276	top4	NOT
MTURN	-0.021345	0.99276	top4	NOT
MTUS1	0.12629	0.89965	top4	NOT
MTUS2	-0.001363	0.99749	top4	NOT
MTX1	0.036148	0.99276	top4	NOT
MTX2	0.093613	0.95655	top4	NOT
MTX3	0.051045	0.98493	top4	NOT
MUC1	-0.0093667	0.99277	top4	NOT
MUC12	0.10281	0.93857	top4	NOT
MUC15	0.017524	0.99749	top4	NOT
MUC16	0.026526	0.99276	top4	NOT
MUC17	-0.047225	0.98057	top4	NOT
MUC20	0.09066	0.95746	top4	NOT
MUC21	-0.088262	0.93857	top4	NOT
MUC22	0.065015	0.97782	top4	NOT
MUC4	-0.0031976	0.99662	top4	NOT
MUC5B	0.096579	0.95048	top4	NOT
MUC6	0.10146	0.93857	top4	NOT
MUC7	-0.13436	0.86241	top4	NOT
MUCL1	-0.050595	0.97782	top4	NOT
MUL1	0.0077498	0.99978	top4	NOT
MUM1	-0.039323	0.98163	top4	NOT
MUM1L1	-0.11756	0.88301	top4	NOT
MURC	-0.057027	0.97647	top4	NOT
MUS81	-0.25909	0.31976	top4	NOT
MUSK	0.1168	0.93032	top4	NOT
MUSTN1	-0.022783	0.99276	top4	NOT
MUT	-0.013227	0.99276	top4	NOT
MUTYH	0.048507	0.98817	top4	NOT
MVB12A	0.18614	0.69769	top4	NOT
MVB12B	0.10993	0.93425	top4	NOT
MVD	-0.010783	0.99276	top4	NOT
MVK	-0.026748	0.9916	top4	NOT
MVP	-0.047498	0.98057	top4	NOT
MX1	0.13705	0.87489	top4	NOT
MX2	-0.040661	0.98163	top4	NOT
MXD1	-0.018	0.99276	top4	NOT
MXD3	-0.032096	0.9888	top4	NOT
MXD4	0.15029	0.85215	top4	NOT
MXI1	0.0041276	0.99788	top4	NOT
MXRA5	0.080493	0.9678	top4	NOT
MXRA7	0.07668	0.96897	top4	NOT
MXRA8	-0.051659	0.97782	top4	NOT
MYADM	0.71353	0	top4	UP
MYADML2	-0.055501	0.97647	top4	NOT
MYB	0.41599	0.055556	top4	UP
MYBBP1A	-0.019174	0.99276	top4	NOT
MYBL1	-0.060279	0.96963	top4	NOT
MYBL2	0.080841	0.9678	top4	NOT
MYBPC1	-0.15635	0.79462	top4	NOT
MYBPC2	-0.012165	0.99276	top4	NOT
MYBPC3	0.33784	0.18375	top4	NOT
MYBPH	0.060183	0.98163	top4	NOT
MYBPHL	0.0040127	0.99788	top4	NOT
MYC	0.3395	0.18072	top4	NOT
MYCBP	7.6149e-4	0.99749	top4	NOT
MYCBPAP	0.052416	0.98431	top4	NOT
MYCL	-0.030124	0.9899	top4	NOT
MYCN	-0.02916	0.9899	top4	NOT
MYCT1	-0.01119	0.99276	top4	NOT
MYD88	0.011972	0.99788	top4	NOT
MYEF2	0.12755	0.89524	top4	NOT
MYEOV	0.035635	0.99276	top4	NOT
MYEOV2	0.25822	0.37478	top4	NOT
MYF5	-0.15212	0.80273	top4	NOT
MYF6	-0.032763	0.98837	top4	NOT
MYH1	-0.005578	0.99447	top4	NOT
MYH10	-0.079538	0.95655	top4	NOT
MYH11	-0.08583	0.94361	top4	NOT
MYH13	-0.067402	0.9678	top4	NOT
MYH14	0.11728	0.92892	top4	NOT
MYH15	-0.13306	0.86244	top4	NOT
MYH2	0.017575	0.99749	top4	NOT
MYH3	0.13718	0.87489	top4	NOT
MYH4	0.035095	0.99276	top4	NOT
MYH6	-0.095585	0.93425	top4	NOT
MYH7	-0.017099	0.99276	top4	NOT
MYH7B	-0.14962	0.81508	top4	NOT
MYH8	-0.023967	0.99256	top4	NOT
MYH9	-0.16135	0.77164	top4	NOT
MYL1	0.023252	0.99445	top4	NOT
MYL10	-0.069904	0.96701	top4	NOT
MYL12A	-0.21504	0.5189	top4	NOT
MYL12B	0.070572	0.97647	top4	NOT
MYL2	-0.097542	0.93425	top4	NOT
MYL3	0.1604	0.81508	top4	NOT
MYL4	-0.040341	0.98163	top4	NOT
MYL5	0.025425	0.99276	top4	NOT
MYL6	0.13074	0.88301	top4	NOT
MYL6B	0.10133	0.93857	top4	NOT
MYL7	0.018595	0.99749	top4	NOT
MYL9	-0.14969	0.81508	top4	NOT
MYLIP	0.027082	0.99276	top4	NOT
MYLK	-0.0035404	0.99662	top4	NOT
MYLK2	0.011537	0.99788	top4	NOT
MYLK3	-0.12369	0.87618	top4	NOT
MYLK4	-0.079232	0.95655	top4	NOT
MYLPF	0.15952	0.81508	top4	NOT
MYNN	-0.12244	0.87618	top4	NOT
MYO10	-0.0068976	0.99445	top4	NOT
MYO15A	0.04947	0.98719	top4	NOT
MYO16	-0.11091	0.90667	top4	NOT
MYO18A	-0.037795	0.98202	top4	NOT
MYO18B	0.017002	0.99749	top4	NOT
MYO19	-0.20371	0.57756	top4	NOT
MYO1A	0.066566	0.97782	top4	NOT
MYO1B	0.073357	0.97296	top4	NOT
MYO1C	-0.10221	0.93263	top4	NOT
MYO1D	0.025519	0.99276	top4	NOT
MYO1E	0.10274	0.93857	top4	NOT
MYO1F	0.01499	0.99749	top4	NOT
MYO1G	-0.078554	0.95672	top4	NOT
MYO1H	0.098818	0.94361	top4	NOT
MYO3A	3.2317e-4	0.99749	top4	NOT
MYO3B	0.016069	0.99749	top4	NOT
MYO5A	-0.0066067	0.99445	top4	NOT
MYO5B	-0.011178	0.99276	top4	NOT
MYO5C	0.025413	0.99276	top4	NOT
MYO6	-0.072047	0.96172	top4	NOT
MYO7A	-0.007223	0.99445	top4	NOT
MYO7B	0.17505	0.75671	top4	NOT
MYO9A	-0.19029	0.64896	top4	NOT
MYO9B	0.31639	0.22039	top4	NOT
MYOC	-0.092551	0.93599	top4	NOT
MYOCD	-0.00643	0.99445	top4	NOT
MYOD1	0.20748	0.61111	top4	NOT
MYOF	0.044404	0.99092	top4	NOT
MYOG	0.021788	0.99445	top4	NOT
MYOM1	-0.020066	0.99276	top4	NOT
MYOM2	0.037869	0.99276	top4	NOT
MYOM3	4.1672e-4	0.99749	top4	NOT
MYOT	-0.17315	0.70285	top4	NOT
MYOZ1	-0.020847	0.99276	top4	NOT
MYOZ2	-0.089855	0.93857	top4	NOT
MYOZ3	-0.004873	0.99516	top4	NOT
MYPN	0.0769	0.96897	top4	NOT
MYPOP	-0.15866	0.78888	top4	NOT
MYRF	-0.002102	0.99749	top4	NOT
MYRIP	-0.047075	0.98057	top4	NOT
MYSM1	0.15786	0.81906	top4	NOT
MYT1	0.082623	0.9678	top4	NOT
MYT1L	0.037413	0.99276	top4	NOT
MZB1	-0.0071216	0.99445	top4	NOT
MZF1	-0.057846	0.97647	top4	NOT
MZT1	0.20883	0.73174	top4	NOT
MZT2A	-0.12884	0.93857	top4	NOT
MZT2B	-0.040552	0.98163	top4	NOT
Mar-01	0.019107	0.99662	top4	NOT
Mar-02	0.088143	0.96087	top4	NOT
Mar-03	0.056295	0.98163	top4	NOT
Mar-04	0.044463	0.99092	top4	NOT
Mar-05	-0.07779	0.95672	top4	NOT
Mar-06	-0.029384	0.9899	top4	NOT
Mar-07	0.047945	0.9888	top4	NOT
Mar-08	-0.10479	0.92523	top4	NOT
Mar-09	0.012502	0.99788	top4	NOT
Mar-10	0.039424	0.99256	top4	NOT
Mar-11	0.17025	0.78822	top4	NOT
N4BP1	0.071109	0.97647	top4	NOT
N4BP2	-0.14437	0.83299	top4	NOT
N4BP2L1	-0.031212	0.98986	top4	NOT
N4BP2L2	0.068594	0.97647	top4	NOT
N4BP3	0.04351	0.99129	top4	NOT
N6AMT1	0.051703	0.98433	top4	NOT
N6AMT2	0.13788	0.87489	top4	NOT
NAA10	-0.077427	0.95672	top4	NOT
NAA11	-0.040153	0.98163	top4	NOT
NAA15	0.085731	0.96172	top4	NOT
NAA16	0.074855	0.96963	top4	NOT
NAA20	-0.010447	0.99276	top4	NOT
NAA25	-0.21455	0.52332	top4	NOT
NAA30	-0.084387	0.94626	top4	NOT
NAA35	0.14005	0.87173	top4	NOT
NAA38	-0.20227	0.59513	top4	NOT
NAA40	-0.10561	0.92097	top4	NOT
NAA50	0.20225	0.63441	top4	NOT
NAA60	-0.064038	0.9678	top4	NOT
NAAA	-0.010001	0.99276	top4	NOT
NAALAD2	-0.013603	0.99276	top4	NOT
NAALADL1	0.026616	0.99276	top4	NOT
NAALADL2	0.035829	0.99276	top4	NOT
NAB1	0.048282	0.98837	top4	NOT
NAB2	-0.024103	0.99256	top4	NOT
NABP1	0.10334	0.93857	top4	NOT
NABP2	0.0080966	0.99983	top4	NOT
NACA	-0.026382	0.99183	top4	NOT
NACA2	-0.21268	0.5352	top4	NOT
NACAD	-0.075499	0.95983	top4	NOT
NACC1	-0.08498	0.94415	top4	NOT
NACC2	-0.038991	0.98163	top4	NOT
NADK	-0.07453	0.96087	top4	NOT
NADK2	0.19142	0.67978	top4	NOT
NADSYN1	0.10131	0.93857	top4	NOT
NAE1	-0.0076735	0.99445	top4	NOT
NAF1	0.12218999999999999	0.91498	top4	NOT
NAGA	-0.077453	0.95672	top4	NOT
NAGK	-0.14907	0.81508	top4	NOT
NAGLU	0.047987	0.9888	top4	NOT
NAGPA	0.075943	0.96924	top4	NOT
NAGS	-0.041774	0.98163	top4	NOT
NAIF1	-0.068531	0.9678	top4	NOT
NAIP	-0.0041623	0.99529	top4	NOT
NALCN	0.095591	0.95163	top4	NOT
NAMPT	-0.30225	0.18375	top4	NOT
NANOG	-0.18836	0.76677	top4	NOT
NANOGNB	0.30152	0.25852	top4	NOT
NANOS1	0.091998	0.95672	top4	NOT
NANOS2	-0.020153	0.99276	top4	NOT
NANOS3	-0.041109	0.98163	top4	NOT
NANP	0.016723	0.99749	top4	NOT
NANS	-0.62628	0	top4	DOWN
NAP1L1	-0.22847	0.45938	top4	NOT
NAP1L2	-0.097746	0.93425	top4	NOT
NAP1L3	0.11252	0.93425	top4	NOT
NAP1L4	0.04222	0.9916	top4	NOT
NAP1L5	0.031878	0.99276	top4	NOT
NAPA	0.079957	0.9678	top4	NOT
NAPB	0.17149	0.77981	top4	NOT
NAPEPLD	0.097056	0.94936	top4	NOT
NAPG	0.16501	0.79767	top4	NOT
NAPRT1	0.047328	0.98924	top4	NOT
NAPSA	-0.032517	0.98856	top4	NOT
NARF	-0.050971	0.97782	top4	NOT
NARFL	-0.17074	0.71051	top4	NOT
NARG2	-0.009493	0.99276	top4	NOT
NARS	-0.30898	0.18254	top4	NOT
NARS2	-0.13284	0.86244	top4	NOT
NASP	0.033293	0.99276	top4	NOT
NAT1	0.10148	0.93857	top4	NOT
NAT10	0.18049	0.7148	top4	NOT
NAT14	-0.10474	0.92523	top4	NOT
NAT16	0.011141	0.99832	top4	NOT
NAT2	-0.1394	0.85077	top4	NOT
NAT6	0.095675	0.95163	top4	NOT
NAT8	-0.10018	0.93425	top4	NOT
NAT8L	0.046504	0.98986	top4	NOT
NAT9	0.012817	0.99788	top4	NOT
NAV1	-0.14002	0.84898	top4	NOT
NAV2	0.027819	0.99276	top4	NOT
NAV3	0.0045264	0.99832	top4	NOT
NBAS	-0.13508	0.86037	top4	NOT
NBEA	-0.0039721	0.9953	top4	NOT
NBEAL1	0.020254	0.99516	top4	NOT
NBEAL2	-0.07434	0.96087	top4	NOT
NBL1	-0.063852	0.9678	top4	NOT
NBN	-0.17558000000000001	0.69769	top4	NOT
NBPF3	0.12449	0.90609	top4	NOT
NBPF4	-0.3042	0.5987	top4	NOT
NBPF6	0.27377	0.47909	top4	NOT
NBR1	-0.019136	0.99276	top4	NOT
NCALD	0.063098	0.97898	top4	NOT
NCAM2	-0.040391	0.98163	top4	NOT
NCAN	0.032753	0.99276	top4	NOT
NCAPD2	0.01499	0.99749	top4	NOT
NCAPD3	0.12064	0.91886	top4	NOT
NCAPG	-0.27929	0.26503	top4	NOT
NCAPG2	0.093175	0.95655	top4	NOT
NCAPH	0.039098	0.99258	top4	NOT
NCAPH2	0.10404	0.93857	top4	NOT
NCBP1	-0.1649	0.74482	top4	NOT
NCBP2	0.25527	0.38591	top4	NOT
NCCRP1	0.079334	0.9678	top4	NOT
NCDN	0.13024	0.88301	top4	NOT
NCEH1	-0.10468	0.92523	top4	NOT
NCF1	-0.11197	0.90022	top4	NOT
NCF2	2.9276e-4	0.99749	top4	NOT
NCF4	0.048138	0.98856	top4	NOT
NCK1	-0.0069771	0.99445	top4	NOT
NCK2	0.11679	0.93032	top4	NOT
NCKAP1	-0.027843	0.99129	top4	NOT
NCKAP1L	-0.022994	0.99276	top4	NOT
NCKAP5	0.19176	0.6756	top4	NOT
NCKAP5L	-0.11222	0.89968	top4	NOT
NCKIPSD	-0.097616	0.93425	top4	NOT
NCL	0.090248	0.95907	top4	NOT
NCLN	-0.32927	0.14035	top4	NOT
NCMAP	0.087873	0.9615	top4	NOT
NCOA1	-0.12021	0.88252	top4	NOT
NCOA2	-0.14845	0.81508	top4	NOT
NCOA3	-0.029167	0.9899	top4	NOT
NCOA4	-0.095745	0.93425	top4	NOT
NCOA5	0.0050192	0.99832	top4	NOT
NCOA6	-0.021701	0.99276	top4	NOT
NCOA7	-0.1352	0.86037	top4	NOT
NCOR1	0.29295	0.27835	top4	NOT
NCOR2	0.10942	0.93425	top4	NOT
NCR1	0.0177	0.99749	top4	NOT
NCR2	-0.047175	0.98057	top4	NOT
NCR3	0.0069066	0.99832	top4	NOT
NCR3LG1	0.92647	0	top4	UP
NCS1	0.06591	0.97782	top4	NOT
NCSTN	0.179	0.72833	top4	NOT
NDC1	-0.1081	0.91498	top4	NOT
NDC80	0.12492	0.90413	top4	NOT
NDE1	0.064094	0.97782	top4	NOT
NDEL1	0.084447	0.96554	top4	NOT
NDFIP1	0.083533	0.96701	top4	NOT
NDFIP2	-0.056673	0.97647	top4	NOT
NDN	0.13157	0.88267	top4	NOT
NDNF	-0.062909	0.96897	top4	NOT
NDNL2	0.12622	0.89965	top4	NOT
NDOR1	0.022889	0.99445	top4	NOT
NDP	0.10891	0.93425	top4	NOT
NDRG1	-0.15734	0.7906	top4	NOT
NDRG2	0.069578	0.97647	top4	NOT
NDRG3	0.13313	0.88127	top4	NOT
NDRG4	0.083644	0.96701	top4	NOT
NDST1	-0.026161	0.99183	top4	NOT
NDST2	0.035404	0.99276	top4	NOT
NDST3	0.038918	0.99276	top4	NOT
NDST4	0.15276	0.84891	top4	NOT
NDUFA1	-0.16127	0.77164	top4	NOT
NDUFA10	0.017031	0.99749	top4	NOT
NDUFA11	0.21251	0.58631	top4	NOT
NDUFA12	0.010453	0.99832	top4	NOT
NDUFA13	0.032679	0.99276	top4	NOT
NDUFA2	-0.23269	0.43192	top4	NOT
NDUFA3	0.17362	0.77039	top4	NOT
NDUFA4	-0.23466	0.78888	top4	NOT
NDUFA4L2	-0.0078575	0.99445	top4	NOT
NDUFA5	-0.019972	0.99276	top4	NOT
NDUFA6	-0.080339	0.95394	top4	NOT
NDUFA7	0.048275	0.98837	top4	NOT
NDUFA8	0.042809	0.9916	top4	NOT
NDUFA9	-0.049574	0.97782	top4	NOT
NDUFAB1	-0.094265	0.93425	top4	NOT
NDUFAF1	0.10432	0.93857	top4	NOT
NDUFAF2	0.20136	0.64268	top4	NOT
NDUFAF3	-0.0263	0.99183	top4	NOT
NDUFAF4	-0.044026	0.98163	top4	NOT
NDUFAF5	-0.073207	0.9615	top4	NOT
NDUFAF6	0.14283	0.867	top4	NOT
NDUFAF7	0.094451	0.95274	top4	NOT
NDUFB1	-0.40488	0.070796	top4	DOWN
NDUFB10	-0.26696	0.2963	top4	NOT
NDUFB11	0.060529	0.98163	top4	NOT
NDUFB2	0.1346	0.87618	top4	NOT
NDUFB3	-0.0090625	0.99321	top4	NOT
NDUFB4	-0.061085	0.96924	top4	NOT
NDUFB5	0.082749	0.9678	top4	NOT
NDUFB6	-0.24716	0.37478	top4	NOT
NDUFB7	3.8823e-4	0.99749	top4	NOT
NDUFB8	0.042647	0.9916	top4	NOT
NDUFB9	0.27133	0.32265	top4	NOT
NDUFC1	-0.040054	0.9888	top4	NOT
NDUFC2	-0.11718	0.88301	top4	NOT
NDUFC2-KCTD14	-0.045652	0.99276	top4	NOT
NDUFS1	-0.048676	0.97803	top4	NOT
NDUFS2	-0.10807	0.91506	top4	NOT
NDUFS3	0.012204	0.99788	top4	NOT
NDUFS4	0.027757	0.99276	top4	NOT
NDUFS5	0.25205	0.40351	top4	NOT
NDUFS6	0.0013112	0.99749	top4	NOT
NDUFS7	-0.12587	0.87489	top4	NOT
NDUFS8	0.075985	0.96924	top4	NOT
NDUFV1	0.045242	0.9899	top4	NOT
NDUFV2	0.078604	0.9678	top4	NOT
NDUFV3	1.2627e-4	0.99749	top4	NOT
NEB	0.086643	0.9615	top4	NOT
NEBL	-0.047367	0.98057	top4	NOT
NECAB1	-0.056633	0.97647	top4	NOT
NECAB2	0.018084	0.99749	top4	NOT
NECAB3	0.092027	0.95672	top4	NOT
NECAP1	-0.077954	0.95672	top4	NOT
NECAP2	-0.024219	0.99256	top4	NOT
NEDD1	-0.055471	0.97647	top4	NOT
NEDD4	0.18397	0.69788	top4	NOT
NEDD4L	-0.033083	0.98807	top4	NOT
NEDD8	0.84757	0.018182	top4	UP
NEDD9	-0.060132	0.96963	top4	NOT
NEFH	0.0035798	0.99788	top4	NOT
NEFM	0.27167	0.32186	top4	NOT
NEGR1	0.068466	0.97647	top4	NOT
NEIL1	0.2484	0.42406	top4	NOT
NEIL2	0.0052354	0.99832	top4	NOT
NEIL3	0.15229	0.84898	top4	NOT
NEK1	-0.10977	0.91105	top4	NOT
NEK10	-0.070487	0.96586	top4	NOT
NEK11	-0.020197	0.99276	top4	NOT
NEK2	0.070775	0.97647	top4	NOT
NEK3	-0.071616	0.96262	top4	NOT
NEK4	0.11155	0.93425	top4	NOT
NEK5	-0.027454	0.99129	top4	NOT
NEK6	0.064855	0.97782	top4	NOT
NEK7	0.040588	0.99183	top4	NOT
NEK8	-0.21091	0.54895	top4	NOT
NEK9	0.0072154	0.99905	top4	NOT
NELFA	0.12323	0.91105	top4	NOT
NELFB	-0.26733	0.29466	top4	NOT
NELFCD	0.36144	0.12183	top4	NOT
NELFE	0.21824	0.56276	top4	NOT
NELL1	-0.11985	0.88267	top4	NOT
NELL2	-0.016753	0.99276	top4	NOT
NEMF	-0.14455	0.83258	top4	NOT
NENF	0.018334	0.99749	top4	NOT
NEO1	0.013365	0.99767	top4	NOT
NES	0.1489	0.85714	top4	NOT
NET1	0.12179	0.91528	top4	NOT
NETO1	-0.085122	0.94367	top4	NOT
NETO2	0.045803	0.9899	top4	NOT
NEU1	0.058876	0.98163	top4	NOT
NEU2	-0.04884	0.97782	top4	NOT
NEU3	0.22325	0.54626	top4	NOT
NEU4	-0.047594	0.98057	top4	NOT
NEURL1	-0.1009	0.93425	top4	NOT
NEURL1B	-0.0017854	0.99749	top4	NOT
NEURL2	0.12525	0.90228	top4	NOT
NEURL4	0.016901	0.99749	top4	NOT
NEUROD1	0.048891	0.98807	top4	NOT
NEUROD2	-0.018928	0.99276	top4	NOT
NEUROD4	-0.07527	0.95983	top4	NOT
NEUROD6	-0.021945	0.99276	top4	NOT
NEUROG1	0.031451	0.99276	top4	NOT
NEUROG2	-0.039331	0.98163	top4	NOT
NEUROG3	-0.0060835	0.99445	top4	NOT
NEXN	0.16574	0.79767	top4	NOT
NF1	0.11908	0.92209	top4	NOT
NF2	-0.022468	0.99276	top4	NOT
NFAM1	0.055056	0.98163	top4	NOT
NFASC	-0.013826	0.99276	top4	NOT
NFAT5	-0.083806	0.94935	top4	NOT
NFATC1	0.01216	0.99788	top4	NOT
NFATC2	-0.066571	0.9678	top4	NOT
NFATC2IP	-0.031185	0.98986	top4	NOT
NFATC3	0.19474	0.65879	top4	NOT
NFATC4	0.035701	0.99276	top4	NOT
NFE2	-0.18899	0.64896	top4	NOT
NFE2L1	-0.024349	0.99256	top4	NOT
NFE2L2	0.04154	0.99183	top4	NOT
NFE2L3	0.038575	0.99276	top4	NOT
NFIA	0.16459	0.79767	top4	NOT
NFIB	0.031902	0.99276	top4	NOT
NFIC	0.077817	0.96794	top4	NOT
NFIL3	-0.069323	0.9678	top4	NOT
NFIX	0.060886	0.98117	top4	NOT
NFKB1	-0.0042203	0.99516	top4	NOT
NFKB2	-0.021867	0.99276	top4	NOT
NFKBIA	-0.038528	0.98163	top4	NOT
NFKBIB	0.013125	0.99788	top4	NOT
NFKBID	0.03596	0.99276	top4	NOT
NFKBIE	-0.078296	0.95672	top4	NOT
NFKBIL1	0.012	0.99788	top4	NOT
NFKBIZ	-0.088168	0.93857	top4	NOT
NFRKB	0.07068	0.97647	top4	NOT
NFS1	0.11264	0.93425	top4	NOT
NFU1	0.34842	0.14103	top4	NOT
NFX1	-0.19586	0.61597	top4	NOT
NFXL1	0.02878	0.99276	top4	NOT
NFYA	0.019273	0.99662	top4	NOT
NFYB	0.20433	0.6211	top4	NOT
NFYC	-0.055693	0.97647	top4	NOT
NGB	0.041241	0.99183	top4	NOT
NGDN	0.073098	0.97305	top4	NOT
NGEF	-0.070062	0.96701	top4	NOT
NGF	-0.1712	0.70894	top4	NOT
NGFR	0.017125	0.99749	top4	NOT
NGFRAP1	-0.2014	0.59944	top4	NOT
NGLY1	0.10096	0.93857	top4	NOT
NGRN	0.067972	0.97658	top4	NOT
NHEJ1	-0.0021798	0.99749	top4	NOT
NHLH1	-0.054978	0.97647	top4	NOT
NHLH2	-0.023631	0.99256	top4	NOT
NHLRC1	-0.011857	0.99276	top4	NOT
NHLRC2	0.50713	0.026316	top4	UP
NHLRC3	-0.050928	0.97782	top4	NOT
NHLRC4	-0.0057935	0.99447	top4	NOT
NHP2	0.26314	0.35055	top4	NOT
NHP2L1	0.036512	0.99276	top4	NOT
NHS	0.14089	0.87173	top4	NOT
NHSL1	0.032951	0.99276	top4	NOT
NICN1	-0.053514	0.97658	top4	NOT
NID1	0.011558	0.99788	top4	NOT
NID2	-0.030227	0.9899	top4	NOT
NIF3L1	-0.056654	0.97647	top4	NOT
NIFK	-0.016129	0.99276	top4	NOT
NIM1	-0.024705	0.99223	top4	NOT
NIN	0.020765	0.99516	top4	NOT
NINJ1	0.015326	0.99749	top4	NOT
NINJ2	-0.016287	0.99276	top4	NOT
NINL	-0.04855	0.97863	top4	NOT
NIP7	-0.17478	0.69769	top4	NOT
NIPA1	0.11069	0.93425	top4	NOT
NIPA2	0.11281	0.93425	top4	NOT
NIPAL1	0.16008	0.81508	top4	NOT
NIPAL2	-0.097517	0.93425	top4	NOT
NIPAL3	0.020284	0.99516	top4	NOT
NIPAL4	-0.05144	0.97782	top4	NOT
NIPBL	-0.11763	0.88301	top4	NOT
NIPSNAP1	0.014826	0.99749	top4	NOT
NIPSNAP3A	0.01911	0.99662	top4	NOT
NIPSNAP3B	0.025428	0.99276	top4	NOT
NISCH	0.037039	0.99276	top4	NOT
NIT1	-0.0090626	0.99321	top4	NOT
NIT2	0.1011	0.93857	top4	NOT
NKAIN1	-0.048752	0.97782	top4	NOT
NKAIN2	-0.087755	0.93857	top4	NOT
NKAIN3	-0.046567	0.98057	top4	NOT
NKAIN4	0.05731	0.98163	top4	NOT
NKAP	-0.0287	0.99092	top4	NOT
NKAPL	0.01834	0.99749	top4	NOT
NKD1	0.08388	0.96701	top4	NOT
NKD2	-0.066602	0.9678	top4	NOT
NKG7	0.071352	0.97647	top4	NOT
NKIRAS1	-0.069867	0.96701	top4	NOT
NKIRAS2	-0.15404	0.79767	top4	NOT
NKRF	-0.12002	0.88267	top4	NOT
